Player Name,Club,Goals_Percentile,Shots_Percentile,Shots_On_Target_Percentile,Conversion_Percentile,Attacking_Percentile
Stephy Mavididi,Leicester City,77.46031746031747,61.74603174603175,74.76190476190476,85.23809523809524,74.8
Christopher Nkunku,Chelsea,71.26984126984127,60.476190476190474,93.17460317460318,73.17460317460316,74.52
Adam Armstrong,Everton,62.53968253968254,61.74603174603175,77.14285714285715,95.71428571428572,74.29
Brennan Johnson,Tottenham Hotspur,20.158730158730158,85.07936507936508,96.03174603174604,95.71428571428572,74.25
Marshall Munetsi,Wolverhampton Wanderers,62.53968253968254,57.61904761904761,87.3015873015873,88.25396825396825,73.93
Rasmus Højlund,Manchester United,77.46031746031747,68.57142857142857,84.12698412698413,61.111111111111114,72.82
Simon Adingra,Brighton & Hove Albion,62.53968253968254,69.68253968253968,94.28571428571428,63.49206349206349,72.5
Rodrigo Bentancur,Tottenham Hotspur,62.53968253968254,57.61904761904761,89.20634920634922,77.61904761904762,71.75
Ryan Yates,Nottingham Forest,62.53968253968254,69.68253968253968,57.61904761904761,95.71428571428572,71.39
Diogo Jota,Liverpool,84.92063492063492,83.4920634920635,57.61904761904761,58.25396825396826,71.07
John McGinn,Aston Villa,48.888888888888886,67.61904761904762,90.15873015873017,77.61904761904762,71.07
Noni Madueke,Chelsea,88.25396825396825,95.55555555555556,71.26984126984127,28.57142857142857,70.91
Amadou Onana,Aston Villa,71.26984126984127,50.0,77.14285714285715,85.23809523809524,70.91
Kamaldeen Sulemana,Southampton,48.888888888888886,66.19047619047619,95.07936507936508,73.17460317460316,70.83
Julio Enciso,Ipswich Town,62.53968253968254,83.80952380952381,77.14285714285715,58.25396825396826,70.44
Raúl Jiménez,Fulham,20.158730158730158,97.61904761904762,97.77777777777777,65.39682539682539,70.24
Casemiro,Manchester United,48.888888888888886,68.57142857142857,67.61904761904762,95.71428571428572,70.2
Orel Mangala,Everton,48.888888888888886,48.41269841269841,84.12698412698413,98.73015873015873,70.04
Emile Smith Rowe,Fulham,84.92063492063492,73.65079365079366,52.539682539682545,67.3015873015873,69.6
Abdoulaye Doucouré,Everton,71.26984126984127,67.61904761904762,79.36507936507937,58.25396825396826,69.13
Jørgen Strand Larsen,Wolverhampton Wanderers,20.158730158730158,85.07936507936508,96.03174603174604,74.60317460317461,68.97
Elliot Anderson,Nottingham Forest,62.53968253968254,76.5079365079365,71.26984126984127,65.39682539682539,68.93
Justin Kluivert,Bournemouth,20.158730158730158,91.58730158730158,91.11111111111111,71.42857142857143,68.57
Jack Harrison,Everton,48.888888888888886,66.19047619047619,79.36507936507937,79.36507936507937,68.45
Mario Lemina,Wolverhampton Wanderers,48.888888888888886,51.587301587301596,71.26984126984127,98.73015873015873,67.62
Facundo Buonanotte,Leicester City,81.42857142857143,73.01587301587301,57.61904761904761,58.25396825396826,67.58
Jadon Sancho,Chelsea,71.26984126984127,59.523809523809526,57.61904761904761,81.26984126984127,67.42
Joe Aribo,Southampton,71.26984126984127,50.0,79.36507936507937,68.88888888888889,67.38
Carlos Soler,West Ham United,48.888888888888886,60.476190476190474,79.36507936507937,80.15873015873017,67.22
Danny Welbeck,Brighton & Hove Albion,96.19047619047619,90.31746031746032,52.539682539682545,28.57142857142857,66.9
Jack Hinshelwood,Brighton & Hove Albion,81.42857142857143,51.587301587301596,52.539682539682545,78.88888888888889,66.11
Ismaïla Sarr,Crystal Palace,91.26984126984127,89.52380952380953,52.539682539682545,28.57142857142857,65.48
Manuel Ugarte,Manchester United,48.888888888888886,53.01587301587302,82.22222222222221,77.61904761904762,65.44
Mikkel Damsgaard,Brentford,62.53968253968254,72.38095238095238,64.76190476190476,61.111111111111114,65.2
Matt O'Riley,Brighton & Hove Albion,62.53968253968254,57.61904761904761,79.36507936507937,61.111111111111114,65.16
James Ward-Prowse,West Ham United,48.888888888888886,46.666666666666664,94.28571428571428,70.15873015873015,65.0
Kai Havertz,Arsenal,94.12698412698413,84.28571428571429,52.539682539682545,28.57142857142857,64.88
Matheus Nunes,Manchester City,48.888888888888886,33.49206349206349,77.14285714285715,98.73015873015873,64.56
Moisés Caicedo,Chelsea,48.888888888888886,54.920634920634924,92.06349206349206,61.111111111111114,64.25
David Brooks,Bournemouth,62.53968253968254,60.476190476190474,61.904761904761905,71.42857142857143,64.09
Harry Wilson,Fulham,84.92063492063492,78.0952380952381,61.904761904761905,28.57142857142857,63.37
