Player Name,Club,Appearances,Minutes,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Richarlison,Tottenham Hotspur,15,500,0.72,0.18,3.06,0.0,1.08,34.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1.44,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
Rodrigo Bentancur,Tottenham Hotspur,26,1653,0.11,0.0,1.2,1.03,0.0,74.16,7.62,5.01,0.05,0.0,3.7,2.18,0.16,2.5,0.93,0.76,1.09,2.01,0.27,0.11,2.18,4.95,2.56,7.08,3.65,0.0
Sergio Reguilón,Tottenham Hotspur,4,195,0.0,0.0,0.92,0.0,0.0,81.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,2.77,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0
Son Heung-Min,Tottenham Hotspur,30,2116,0.3,0.38,2.42,0.3,0.3,51.76,22.46,18.59,2.64,0.43,10.0,7.57,0.26,11.87,7.53,3.53,1.36,0.68,0.47,0.09,0.72,9.1,3.7,1.02,0.38,0.0
Timo Werner,Tottenham Hotspur,18,508,0.0,0.53,1.42,0.0,0.35,57.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.06,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0
Will Lankshear,Tottenham Hotspur,3,10,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilson Odobert,Tottenham Hotspur,16,849,0.11,0.0,1.38,0.0,0.32,43.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.53,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0
Yves Bissouma,Tottenham Hotspur,28,1405,0.13,0.0,0.7,0.0,0.0,69.63,20.5,15.95,1.15,0.26,7.75,5.64,0.19,5.64,3.46,3.2,0.96,2.24,0.96,0.32,3.14,5.7,2.5,0.9,0.19,0.0
Aaron Cresswell,West Ham United,18,823,0.0,0.0,0.55,0.0,0.0,76.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,West Ham United,36,3154,0.06,0.14,0.46,0.14,0.03,68.14,42.89,35.5,2.17,0.46,14.24,10.9,0.14,11.79,7.16,4.97,0.63,3.17,1.88,0.31,2.0,7.39,4.57,1.6,0.66,0.0
Alphonse Areola,West Ham United,26,2259,0.0,0.0,0.0,0.0,0.0,44.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.63
Andy Irving,West Ham United,10,162,0.0,0.0,2.22,0.0,0.0,87.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.78,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0
Carlos Soler,West Ham United,31,1404,0.06,0.0,1.6,0.64,0.26,53.97,61.54,49.36,1.28,0.51,18.33,12.37,0.58,8.53,3.78,6.6,0.9,1.22,0.9,0.64,1.03,10.51,6.54,3.72,2.5,0.0
Crysencio Summerville,West Ham United,19,780,0.12,0.0,1.62,0.0,0.23,48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.69,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
Danny Ings,West Ham United,15,270,0.33,0.67,4.67,0.0,0.67,50.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0
Edson Álvarez,West Ham United,28,1781,0.0,0.05,0.61,0.35,0.0,65.04,65.14,53.62,1.77,0.1,22.74,17.38,0.35,19.56,9.55,10.46,0.76,2.07,1.57,0.45,2.53,18.95,9.35,4.4,2.88,0.0
Emerson,West Ham United,31,2126,0.08,0.0,0.68,0.47,0.13,58.25,42.38,38.69,0.68,0.21,16.3,14.44,0.08,10.33,5.46,3.17,0.3,2.37,0.47,0.08,2.54,5.5,2.58,1.1,0.25,0.0
Evan Ferguson,West Ham United,21,387,0.23,0.0,2.79,0.0,0.7,40.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.16,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0
Guido Rodríguez,West Ham United,23,1155,0.0,0.0,0.62,0.55,0.0,57.27,87.12,75.04,0.23,0.0,10.13,5.69,0.0,26.88,10.29,5.3,0.55,0.0,3.12,0.94,2.81,5.45,3.35,7.01,4.99,0.0
James Ward-Prowse,West Ham United,24,1440,0.06,0.12,0.94,1.62,0.12,68.0,23.19,16.06,0.69,0.06,8.56,5.0,0.06,6.56,3.56,2.44,0.56,1.19,0.31,0.25,1.5,6.75,3.25,6.69,3.19,0.0
Jarrod Bowen,West Ham United,34,2979,0.0,0.24,2.63,0.0,0.24,42.63,32.36,28.58,0.09,0.0,3.05,1.81,0.0,7.01,3.38,2.39,2.33,0.63,0.79,0.39,1.24,3.2,1.87,1.63,0.85,0.0
Jean-Clair Todibo,West Ham United,27,1831,0.0,0.0,0.25,1.62,0.0,66.21,20.64,14.06,1.28,0.25,9.78,5.95,0.34,7.47,4.57,3.34,0.54,4.03,0.1,0.2,2.31,8.45,3.19,8.41,3.15,0.0
Kaelan Casey,West Ham United,1,1,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konstantinos Mavropanos,West Ham United,33,2037,0.0,0.0,0.8,0.13,0.13,69.59,24.65,19.18,0.62,0.18,7.91,4.86,0.0,5.92,3.62,1.86,0.0,5.43,0.53,0.18,1.55,3.67,1.68,2.25,1.24,0.0
Lewis Orford,West Ham United,2,47,0.0,0.0,1.91,0.0,0.0,82.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Paquetá,West Ham United,33,2384,0.15,0.0,1.55,1.13,0.04,72.97,31.18,26.84,1.21,0.42,17.33,14.27,0.08,15.06,7.29,3.96,1.93,1.28,0.26,0.0,2.49,11.02,4.61,1.96,0.53,0.0
Luis Guilherme,West Ham United,12,139,0.0,0.0,2.59,0.0,0.0,71.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.65,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0
Lukasz Fabianski,West Ham United,14,1161,0.0,0.0,0.0,0.0,0.0,45.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
Maximilian Kilman,West Ham United,38,3349,0.0,0.03,0.35,0.11,0.11,65.14,10.0,8.38,0.03,0.0,1.34,0.62,0.0,1.32,0.32,0.7,0.11,5.64,0.43,0.27,1.05,0.81,0.32,1.24,0.7,0.0
